ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
543,353d37m8.8s,-36d05m54.2s,23,23,23,0,,,10198.24
544,353d37m8.9s,-36d05m10.3s,81,51,71,30,,,10196.51
545,353d37m9.2s,-36d05m54.6s,20,9,16,0,,,10198.25
546,353d37m9.4s,-36d05m52.1s,46,44,45,0,,,10198.14
547,353d37m9.6s,-36d05m5.7s,81,41,68,-20,,,10196.31
548,353d37m9.9s,-36d06m24.6s,66,40,57,30,,,10199.41
549,353d37m10.0s,-36d06m6.3s,48,37,44,0,,,10198.69
550,353d37m10.1s,-36d06m23.2s,97,53,82,40,,,10199.35
551,353d37m10.4s,-36d05m59.1s,79,53,71,50,,,10198.39
552,353d37m10.8s,-36d06m21.7s,57,49,54,0,,,10199.27
553,353d37m11.1s,-36d05m11.4s,65,47,59,30,,,10196.51
554,353d37m11.2s,-36d06m30.1s,27,23,25,0,,,10199.59
555,353d37m11.3s,-36d05m52.9s,12,12,12,0,,,10198.13
556,353d37m11.4s,-36d06m14.1s,97,49,81,-10,,,10198.96
557,353d37m11.5s,-36d05m45.5s,210,139,187,80,,,10197.83
558,353d37m11.6s,-36d05m55.6s,79,40,66,-40,,,10198.23
559,353d37m11.9s,-36d05m19.8s,298,154,250,30,,,10196.82
560,353d37m12.0s,-36d06m30.9s,55,52,54,30,,,10199.61
561,353d37m12.2s,-36d06m4.6s,48,37,44,-20,,,10198.57
562,353d37m12.4s,-36d05m16.1s,15,12,14,0,,,10196.66
563,353d37m12.7s,-36d05m52.7s,58,50,56,0,,,10198.09
564,353d37m12.8s,-36d05m13.1s,27,25,26,0,,,10196.54
565,353d37m13.1s,-36d05m16.3s,16,13,15,0,,,10196.66
566,353d37m13.1s,-36d06m14.7s,97,53,82,0,,,10198.95
567,353d37m13.4s,-36d05m25.6s,35,18,30,0,,,10197.01
568,353d37m13.5s,-36d05m41.4s,25,23,24,0,,,10197.63
569,353d37m13.6s,-36d06m40.7s,183,82,149,30,,,10199.96
570,353d37m13.6s,-36d05m24.7s,38,38,38,0,,,10196.97
571,353d37m14.2s,-36d05m57.5s,110,101,107,0,,,10198.25
572,353d37m14.2s,-36d05m42.5s,23,20,22,-90,,,10197.66
573,353d37m14.4s,-36d06m0.6s,71,69,71,0,,,10198.36
574,353d37m14.5s,-36d05m41.3s,21,21,21,0,,,10197.61
575,353d37m14.7s,-36d05m26.4s,55,35,48,0,,,10197.02
576,353d37m14.7s,-36d05m55.7s,38,31,36,0,,,10198.16
577,353d37m14.8s,-36d05m42.5s,11,11,11,0,,,10197.64
578,353d37m14.9s,-36d05m15.2s,31,19,27,-40,,,10196.58
579,353d37m14.9s,-36d05m17.3s,38,18,32,40,,,10196.66
580,353d37m15.5s,-36d05m25.9s,19,12,17,0,,,10196.98
581,353d37m15.6s,-36d06m4.2s,79,48,69,0,,,10198.48
582,353d37m15.7s,-36d06m33.6s,165,119,149,50,,,10199.63
583,353d37m16.1s,-36d05m51.4s,62,37,54,-60,,,10197.97
584,353d37m16.1s,-36d05m50.3s,23,14,20,-30,,,10197.93
585,353d37m16.1s,-36d05m43.6s,50,39,46,-90,,,10197.66
586,353d37m16.1s,-36d05m24.7s,21,15,19,50,,,10196.92
587,353d37m16.1s,-36d05m37.3s,34,28,32,-70,,,10197.42
588,353d37m16.2s,-36d05m33.5s,34,31,33,-90,,,10197.26
589,353d37m16.4s,-36d05m36.1s,37,34,36,0,,,10197.36
590,353d37m16.5s,-36d06m13.6s,71,62,68,0,,,10198.83
591,353d37m16.7s,-36d05m15.7s,27,13,22,20,,,10196.55
592,353d37m16.7s,-36d05m15.2s,27,24,26,0,,,10196.54
593,353d37m16.8s,-36d05m46.6s,74,43,64,-20,,,10197.76
594,353d37m17.1s,-36d05m45.6s,41,39,40,0,,,10197.72
595,353d37m17.5s,-36d05m58.7s,120,115,118,0,,,10198.22
596,353d37m17.6s,-36d05m41.6s,31,24,29,30,,,10197.55
597,353d37m18.3s,-36d06m13.6s,26,26,26,0,,,10198.79
598,353d37m18.3s,-36d05m26.3s,19,13,17,-40,,,10196.93
599,353d37m18.3s,-36d06m7.4s,32,23,29,-90,,,10198.55
600,353d37m18.4s,-36d06m11.2s,66,57,63,-90,,,10198.69
601,353d37m18.4s,-36d05m25.0s,37,22,32,-10,,,10196.88
602,353d37m18.6s,-36d05m24.5s,35,28,33,70,,,10196.85
603,353d37m18.7s,-36d06m35.0s,0,0,0,0,,,10199.62
604,353d37m19.1s,-36d05m26.3s,43,25,37,-40,,,10196.92
605,353d37m19.2s,-36d06m0.3s,61,46,56,0,,,10198.25
606,353d37m20.0s,-36d05m35.7s,106,87,100,70,,,10197.27
607,353d37m20.8s,-36d05m19.0s,15,13,14,0,,,10196.59
608,353d37m21.0s,-36d06m32.8s,93,84,90,0,,,10199.49
609,353d37m21.0s,-36d05m22.9s,25,13,21,-10,,,10196.74
610,353d37m22.1s,-36d05m54.4s,99,97,98,0,,,10197.95
611,353d37m22.8s,-36d06m0.1s,28,18,25,-10,,,10198.16
612,353d37m22.8s,-36d05m59.1s,28,14,24,-20,,,10198.12
613,353d37m23.4s,-36d05m57.2s,59,30,49,40,,,10198.04
614,353d37m23.8s,-36d05m25.1s,37,10,28,-40,,,10196.77
615,353d37m23.9s,-36d05m20.3s,32,19,28,0,,,10196.57
616,353d37m24.4s,-36d05m22.7s,37,28,34,0,,,10196.66
617,353d37m25.2s,-36d05m29.4s,229,130,196,0,,,10196.90
618,353d37m25.2s,-36d05m37.6s,34,34,34,0,,,10197.23
619,353d37m25.4s,-36d05m21.8s,25,12,21,0,,,10196.60
620,353d37m26.1s,-36d05m24.2s,16,13,15,0,,,10196.68
621,353d37m26.3s,-36d05m52.6s,41,23,35,-20,,,10197.79
622,353d37m26.8s,-36d06m5.5s,111,66,96,40,,,10198.29
623,353d37m26.8s,-36d05m19.5s,55,32,47,0,,,10196.48
624,353d37m27.3s,-36d05m59.3s,18,7,14,0,,,10198.03
625,353d37m27.3s,-36d05m24.7s,38,18,32,20,,,10196.68
626,353d37m27.5s,-36d06m37.1s,62,59,61,-90,,,10199.51
627,353d37m28.4s,-36d05m41.1s,44,40,43,0,,,10197.29
628,353d37m29.1s,-36d05m25.1s,28,18,25,20,,,10196.65
629,353d37m29.4s,-36d05m43.2s,79,57,72,0,,,10197.35
630,353d37m29.5s,-36d05m24.2s,35,24,32,0,,,10196.61
631,353d37m29.5s,-36d05m34.1s,34,34,34,0,,,10197.00
632,353d37m29.8s,-36d05m48.4s,53,40,49,0,,,10197.55
633,353d37m29.9s,-36d05m41.0s,62,57,60,0,,,10197.25
634,353d37m30.8s,-36d06m15.1s,79,49,69,0,,,10198.57
635,353d37m30.9s,-36d06m10.0s,110,101,107,-90,,,10198.37
636,353d37m31.1s,-36d05m49.7s,57,53,56,0,,,10197.57
637,353d37m31.4s,-36d05m25.9s,32,21,29,20,,,10196.63
638,353d37m31.9s,-36d06m34.8s,73,51,66,-70,,,10199.33
639,353d37m31.9s,-36d05m25.3s,38,15,31,10,,,10196.60
640,353d37m32.0s,-36d05m58.6s,121,110,118,0,,,10197.90
641,353d37m32.4s,-36d05m27.4s,38,21,32,10,,,10196.67
642,353d37m33.5s,-36d06m8.7s,101,73,91,20,,,10198.26
643,353d37m34.3s,-36d05m38.6s,37,31,35,0,,,10197.07
644,353d37m35.2s,-36d06m4.0s,136,61,111,10,,,10198.04
645,353d37m35.2s,-36d06m8.3s,137,0,91,0,,,10198.21
646,353d37m35.8s,-36d05m36.1s,40,34,38,70,,,10196.94
647,353d37m37.6s,-36d05m32.1s,30,24,28,-80,,,10196.74
648,353d37m37.8s,-36d05m19.4s,42,23,36,20,,,10196.23
649,353d37m37.9s,-36d05m28.6s,173,99,148,0,,,10196.59
650,353d37m38.6s,-36d05m52.2s,168,152,163,0,,,10197.51
651,353d37m39.1s,-36d06m24.2s,182,88,150,-40,,,10198.75
652,353d37m39.8s,-36d05m47.7s,152,99,135,30,,,10197.30
653,353d37m40.4s,-36d06m54.1s,62,55,60,0,,,10199.90
654,353d37m40.7s,-36d05m18.2s,53,19,42,-40,,,10196.12
655,353d37m41.1s,-36d05m20.8s,27,21,25,-90,,,10196.22
656,353d37m41.4s,-36d06m11.0s,69,37,58,0,,,10198.18
657,353d37m41.6s,-36d06m56.8s,62,51,59,0,,,10199.97
658,353d37m43.4s,-36d05m22.6s,58,31,49,-20,,,10196.24
659,353d37m43.5s,-36d05m32.9s,219,73,171,-90,,,10196.64
660,353d37m44.3s,-36d06m8.8s,58,55,57,0,,,10198.03
661,353d37m44.3s,-36d05m19.0s,81,49,70,-90,,,10196.08
662,353d37m45.5s,-36d06m22.1s,55,22,44,10,,,10198.53
663,353d37m45.8s,-36d06m23.2s,96,33,75,-40,,,10198.56
664,353d37m46.1s,-36d05m44.7s,69,53,64,-90,,,10197.05
665,353d37m48.2s,-36d06m58.8s,89,76,85,50,,,10199.91
666,353d37m49.7s,-36d05m52.6s,101,73,91,0,,,10197.28
667,353d37m49.9s,-36d06m4.3s,146,101,131,10,,,10197.73
668,353d37m54.4s,-36d06m8.5s,79,71,76,0,,,10197.80
669,353d37m57.4s,-36d06m46.2s,190,70,150,-40,,,10199.21
670,353d37m57.5s,-36d05m45.3s,210,210,210,0,,,10196.82
