ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
159,353d36m20.0s,-36d06m28.3s,48,46,48,0,,,10200.65
160,353d36m20.3s,-36d05m16.4s,19,16,18,-90,,,10197.82
161,353d36m20.4s,-36d06m12.6s,79,74,77,0,,,10200.02
162,353d36m20.6s,-36d06m25.7s,103,103,103,0,,,10200.53
163,353d36m20.7s,-36d06m20.7s,101,85,95,-90,,,10200.33
164,353d36m21.1s,-36d05m21.7s,41,37,40,-20,,,10198.01
165,353d36m21.2s,-36d05m39.8s,30,28,30,0,,,10198.72
166,353d36m21.4s,-36d05m16.5s,15,13,14,0,,,10197.79
167,353d36m21.5s,-36d06m31.6s,26,26,26,0,,,10200.74
168,353d36m21.8s,-36d05m58.1s,42,39,41,0,,,10199.42
169,353d36m21.8s,-36d06m23.7s,96,96,96,0,,,10200.42
170,353d36m21.9s,-36d05m31.4s,56,54,55,-90,,,10198.37
171,353d36m21.9s,-36d06m30.5s,23,21,23,0,,,10200.69
172,353d36m22.3s,-36d06m28.9s,13,13,13,0,,,10200.62
173,353d36m22.4s,-36d06m15.8s,18,10,15,-90,,,10200.10
174,353d36m22.5s,-36d06m30.0s,38,19,32,-20,,,10200.66
175,353d36m22.5s,-36d05m40.1s,28,27,28,-90,,,10198.70
176,353d36m22.7s,-36d06m18.1s,118,92,109,0,,,10200.18
177,353d36m22.7s,-36d06m14.8s,23,15,20,0,,,10200.06
178,353d36m22.8s,-36d06m59.0s,61,43,55,-30,,,10201.79
179,353d36m23.0s,-36d05m58.2s,36,17,30,-90,,,10199.40
180,353d36m23.1s,-36d05m57.5s,15,12,14,-90,,,10199.37
181,353d36m23.1s,-36d06m37.4s,35,35,35,0,,,10200.93
182,353d36m23.3s,-36d06m29.4s,23,21,23,0,,,10200.62
183,353d36m23.3s,-36d05m19.2s,18,13,16,0,,,10197.86
184,353d36m23.7s,-36d05m19.6s,27,21,25,0,,,10197.87
185,353d36m23.7s,-36d05m33.8s,66,49,60,20,,,10198.42
186,353d36m23.8s,-36d06m38.1s,20,20,20,0,,,10200.94
187,353d36m24.0s,-36d05m33.0s,38,36,37,0,,,10198.39
188,353d36m24.4s,-36d06m7.5s,45,32,40,20,,,10199.73
189,353d36m24.6s,-36d05m22.2s,66,49,61,20,,,10197.95
190,353d36m24.9s,-36d05m47.9s,54,34,48,0,,,10198.95
191,353d36m24.9s,-36d05m51.7s,18,15,17,0,,,10199.10
192,353d36m25.0s,-36d06m25.1s,36,30,34,0,,,10200.41
193,353d36m25.0s,-36d05m51.1s,26,18,23,-90,,,10199.08
194,353d36m25.1s,-36d05m26.6s,85,63,78,-90,,,10198.11
195,353d36m25.2s,-36d06m11.0s,137,82,119,0,,,10199.85
196,353d36m25.2s,-36d06m20.9s,51,44,49,0,,,10200.24
197,353d36m25.3s,-36d06m19.5s,55,44,51,0,,,10200.18
198,353d36m25.6s,-36d06m23.4s,85,59,76,-90,,,10200.33
199,353d36m25.6s,-36d06m0.6s,66,35,56,0,,,10199.44
200,353d36m25.7s,-36d05m14.8s,40,22,34,0,,,10197.63
201,353d36m26.1s,-36d05m51.6s,48,33,43,-90,,,10199.07
202,353d36m26.2s,-36d06m5.3s,95,65,85,30,,,10199.60
203,353d36m26.3s,-36d06m45.3s,62,57,60,-90,,,10201.17
204,353d36m26.3s,-36d06m42.9s,49,40,46,-90,,,10201.08
205,353d36m26.5s,-36d05m44.3s,134,76,115,0,,,10198.78
206,353d36m26.6s,-36d05m38.3s,259,145,221,20,,,10198.54
207,353d36m26.7s,-36d06m24.9s,26,26,26,0,,,10200.37
208,353d36m27.0s,-36d06m8.5s,41,41,41,0,,,10199.72
209,353d36m27.0s,-36d05m49.5s,20,15,19,-90,,,10198.97
210,353d36m27.2s,-36d06m7.8s,30,27,29,0,,,10199.68
211,353d36m27.2s,-36d05m13.9s,38,22,33,0,,,10197.57
212,353d36m27.4s,-36d05m51.0s,51,38,47,-20,,,10199.02
213,353d36m27.6s,-36d06m32.3s,219,174,204,80,,,10200.63
214,353d36m27.8s,-36d05m24.6s,41,30,37,-10,,,10197.98
215,353d36m27.8s,-36d06m50.5s,176,88,147,0,,,10201.35
216,353d36m27.9s,-36d06m44.4s,26,26,26,0,,,10201.10
217,353d36m28.0s,-36d05m52.5s,26,20,24,0,,,10199.06
218,353d36m28.1s,-36d05m21.1s,25,16,22,30,,,10197.83
219,353d36m28.2s,-36d06m7.5s,28,15,24,-30,,,10199.65
220,353d36m28.2s,-36d05m19.9s,39,35,38,-90,,,10197.78
221,353d36m28.2s,-36d05m22.9s,40,28,36,80,,,10197.90
222,353d36m28.4s,-36d06m41.3s,17,15,16,-90,,,10200.97
223,353d36m28.5s,-36d05m50.4s,28,21,26,0,,,10198.97
224,353d36m28.5s,-36d05m34.5s,38,36,38,30,,,10198.35
225,353d36m28.5s,-36d05m49.0s,17,14,16,0,,,10198.92
226,353d36m28.5s,-36d05m35.1s,85,30,67,25,,,10198.37
227,353d36m28.7s,-36d05m56.2s,43,30,39,30,,,10199.20
228,353d36m28.8s,-36d06m38.1s,87,68,81,-90,,,10200.84
229,353d36m28.8s,-36d06m2.2s,160,160,160,0,,,10199.43
230,353d36m29.0s,-36d05m41.7s,47,45,46,0,,,10198.62
231,353d36m29.4s,-36d06m18.5s,26,17,23,0,,,10200.06
232,353d36m29.8s,-36d05m22.2s,28,19,25,-70,,,10197.83
233,353d36m29.9s,-36d06m41.3s,61,43,55,20,,,10200.94
234,353d36m30.1s,-36d05m47.5s,12,12,12,0,,,10198.82
235,353d36m30.2s,-36d06m27.4s,0,0,0,0,,,10200.39
236,353d36m30.2s,-36d06m45.1s,44,35,41,0,,,10201.08
237,353d36m30.3s,-36d06m14.3s,70,45,62,-60,,,10199.87
238,353d36m30.4s,-36d06m27.9s,34,28,32,-60,,,10200.40
239,353d36m30.5s,-36d05m31.4s,33,27,31,50,,,10198.18
240,353d36m30.5s,-36d06m26.3s,32,26,30,0,,,10200.34
241,353d36m30.5s,-36d05m22.9s,35,27,32,80,,,10197.85
242,353d36m30.7s,-36d05m47.3s,12,11,12,0,,,10198.80
243,353d36m30.7s,-36d06m26.9s,26,21,24,0,,,10200.36
244,353d36m31.0s,-36d06m28.8s,34,23,30,-90,,,10200.42
245,353d36m31.1s,-36d05m47.3s,17,17,17,0,,,10198.79
246,353d36m31.1s,-36d05m27.2s,112,100,108,-90,,,10198.00
247,353d36m31.3s,-36d05m28.3s,47,31,42,-70,,,10198.04
248,353d36m31.5s,-36d06m9.7s,38,30,35,-90,,,10199.66
249,353d36m31.5s,-36d05m3.9s,424,418,422,-90,,,10197.08
250,353d36m31.6s,-36d06m19.3s,77,38,64,-75,,,10200.04
251,353d36m31.6s,-36d05m54.7s,12,12,12,0,,,10199.07
252,353d36m31.7s,-36d05m48.7s,58,44,53,60,,,10198.84
253,353d36m31.9s,-36d06m22.5s,49,44,47,-90,,,10200.16
254,353d36m31.9s,-36d06m17.3s,69,48,62,-90,,,10199.95
255,353d36m32.0s,-36d06m10.2s,46,41,44,0,,,10199.67
256,353d36m32.1s,-36d06m11.1s,16,12,15,0,,,10199.70
257,353d36m32.1s,-36d05m47.5s,14,12,13,-90,,,10198.78
258,353d36m32.3s,-36d06m0.9s,57,57,57,0,,,10199.30
259,353d36m32.4s,-36d06m35.9s,49,44,47,0,,,10200.67
260,353d36m32.5s,-36d05m56.7s,124,91,113,0,,,10199.13
261,353d36m32.7s,-36d05m40.1s,49,46,48,-90,,,10198.48
262,353d36m32.7s,-36d06m25.1s,17,17,17,0,,,10200.24
263,353d36m32.7s,-36d05m54.5s,26,18,23,70,,,10199.04
264,353d36m32.7s,-36d06m24.6s,15,8,13,0,,,10200.22
265,353d36m33.0s,-36d06m8.8s,59,50,56,0,,,10199.60
266,353d36m33.0s,-36d06m22.2s,69,42,60,-90,,,10200.12
267,353d36m33.1s,-36d05m49.8s,18,12,16,20,,,10198.85
268,353d36m33.1s,-36d05m23.3s,37,35,37,-90,,,10197.81
269,353d36m33.3s,-36d06m29.3s,53,43,50,-90,,,10200.39
270,353d36m33.3s,-36d05m46.7s,16,10,14,0,,,10198.72
271,353d36m33.6s,-36d05m16.1s,43,43,43,0,,,10197.51
272,353d36m33.7s,-36d06m42.1s,38,28,35,70,,,10200.89
273,353d36m33.9s,-36d06m4.0s,20,12,17,-80,,,10199.39
274,353d36m33.9s,-36d06m6.5s,26,23,25,-90,,,10199.49
275,353d36m33.9s,-36d05m46.2s,37,25,33,0,,,10198.69
276,353d36m34.0s,-36d06m36.9s,31,13,25,-70,,,10200.68
277,353d36m34.1s,-36d06m40.6s,34,30,33,0,,,10200.82
278,353d36m34.1s,-36d06m2.6s,28,15,24,-30,,,10199.33
279,353d36m34.2s,-36d06m25.3s,28,21,26,-90,,,10200.21
280,353d36m34.3s,-36d06m31.2s,49,28,42,-90,,,10200.44
281,353d36m34.4s,-36d05m45.6s,20,11,17,0,,,10198.65
282,353d36m34.6s,-36d05m29.8s,137,130,135,-90,,,10198.03
283,353d36m34.6s,-36d05m46.8s,23,16,21,0,,,10198.70
284,353d36m34.9s,-36d06m26.7s,96,56,83,-15,,,10200.25
285,353d36m34.9s,-36d06m30.3s,61,22,48,-40,,,10200.40
286,353d36m35.0s,-36d05m47.5s,22,17,20,-90,,,10198.72
287,353d36m35.0s,-36d06m4.6s,18,15,17,-90,,,10199.38
288,353d36m35.1s,-36d05m24.0s,28,28,28,0,,,10197.79
289,353d36m35.1s,-36d06m41.7s,43,30,38,-60,,,10200.84
290,353d36m35.2s,-36d06m24.1s,25,24,25,0,,,10200.15
291,353d36m35.2s,-36d06m13.3s,30,21,27,30,,,10199.72
292,353d36m35.3s,-36d05m51.9s,71,22,54,-15,,,10198.88
293,353d36m35.4s,-36d04m56.1s,67,61,65,0,,,10196.69
294,353d36m35.5s,-36d05m59.8s,59,49,56,-90,,,10199.19
295,353d36m35.8s,-36d06m26.9s,55,51,54,0,,,10200.24
296,353d36m35.9s,-36d06m38.7s,60,57,59,0,,,10200.70
297,353d36m35.9s,-36d06m4.1s,16,12,15,-70,,,10199.35
298,353d36m35.9s,-36d05m15.0s,21,13,18,35,,,10197.42
299,353d36m36.0s,-36d05m53.4s,59,20,46,-30,,,10198.92
300,353d36m36.2s,-36d05m45.0s,70,28,56,20,,,10198.59
301,353d36m36.2s,-36d06m13.2s,32,19,28,-90,,,10199.70
302,353d36m36.3s,-36d06m25.4s,17,17,17,10,,,10200.17
303,353d36m36.4s,-36d04m52.9s,33,29,32,-20,,,10196.54
304,353d36m36.4s,-36d06m11.3s,57,33,49,0,,,10199.62
305,353d36m36.5s,-36d05m38.3s,43,28,38,0,,,10198.32
306,353d36m36.5s,-36d05m14.1s,13,10,12,20,,,10197.37
307,353d36m36.5s,-36d05m55.0s,26,17,23,0,,,10198.98
308,353d36m36.5s,-36d06m2.9s,34,25,31,-60,,,10199.29
309,353d36m36.7s,-36d06m5.5s,39,39,39,0,,,10199.38
310,353d36m37.0s,-36d06m8.1s,53,34,47,0,,,10199.48
311,353d36m37.2s,-36d06m27.4s,19,15,18,0,,,10200.23
312,353d36m37.2s,-36d05m47.1s,39,38,39,-90,,,10198.65
313,353d36m37.2s,-36d06m33.3s,23,21,22,-90,,,10200.47
314,353d36m37.3s,-36d06m7.6s,21,11,18,0,,,10199.45
315,353d36m37.3s,-36d06m31.8s,34,32,33,-90,,,10200.40
316,353d36m37.4s,-36d05m13.6s,12,9,11,0,,,10197.33
317,353d36m37.4s,-36d05m12.6s,7,6,7,0,,,10197.29
318,353d36m37.4s,-36d06m3.8s,22,15,20,-60,,,10199.30
319,353d36m37.5s,-36d05m56.6s,48,47,48,0,,,10199.02
320,353d36m37.5s,-36d05m12.9s,21,13,18,-10,,,10197.30
321,353d36m37.8s,-36d06m41.0s,45,28,39,-80,,,10200.75
322,353d36m37.8s,-36d06m25.5s,34,16,28,-90,,,10200.14
323,353d36m37.9s,-36d05m39.5s,67,61,65,0,,,10198.34
324,353d36m37.9s,-36d06m17.9s,40,26,35,80,,,10199.84
325,353d36m37.9s,-36d06m57.4s,71,31,57,-70,,,10201.39
326,353d36m38.0s,-36d06m5.4s,31,15,25,0,,,10199.35
327,353d36m38.0s,-36d06m7.5s,22,12,19,0,,,10199.44
328,353d36m38.2s,-36d05m33.1s,156,130,147,-90,,,10198.08
329,353d36m38.3s,-36d05m38.0s,31,31,31,0,,,10198.27
330,353d36m38.3s,-36d06m24.2s,34,21,30,-90,,,10200.08
331,353d36m38.4s,-36d06m32.4s,28,23,27,-90,,,10200.40
332,353d36m38.4s,-36d05m14.6s,47,25,40,35,,,10197.35
333,353d36m38.6s,-36d05m46.2s,42,22,35,0,,,10198.58
334,353d36m38.7s,-36d05m57.4s,22,17,20,0,,,10199.02
335,353d36m38.9s,-36d06m4.9s,26,14,22,20,,,10199.31
336,353d36m38.9s,-36d05m49.4s,56,42,52,80,,,10198.71
337,353d36m39.1s,-36d06m10.9s,27,23,26,-50,,,10199.55
338,353d36m39.2s,-36d05m20.3s,568,203,446,28,,,10197.56
339,353d36m39.3s,-36d05m57.0s,33,26,31,-90,,,10198.99
340,353d36m39.4s,-36d06m9.9s,28,19,25,-90,,,10199.50
341,353d36m39.5s,-36d05m52.3s,64,46,58,-10,,,10198.80
342,353d36m39.5s,-36d05m40.7s,98,52,83,0,,,10198.35
343,353d36m39.5s,-36d06m3.3s,22,18,21,0,,,10199.24
344,353d36m39.6s,-36d06m19.3s,38,26,34,-20,,,10199.86
345,353d36m39.7s,-36d05m42.0s,46,28,40,0,,,10198.40
346,353d36m39.8s,-36d06m6.1s,26,15,22,0,,,10199.34
347,353d36m39.9s,-36d07m0.7s,128,84,113,-40,,,10201.48
348,353d36m39.9s,-36d06m4.3s,20,16,19,-70,,,10199.27
349,353d36m40.0s,-36d06m41.1s,51,32,45,-80,,,10200.71
350,353d36m40.0s,-36d05m29.0s,49,46,48,0,,,10197.88
351,353d36m40.1s,-36d05m46.3s,23,15,21,10,,,10198.56
352,353d36m40.1s,-36d06m2.9s,17,15,16,-80,,,10199.21
353,353d36m40.2s,-36d05m59.3s,0,0,0,0,,,10199.06
354,353d36m40.3s,-36d06m26.6s,79,75,78,0,,,10200.14
355,353d36m40.3s,-36d05m5.0s,119,119,119,0,,,10196.93
356,353d36m40.6s,-36d06m1.2s,43,28,38,70,,,10199.13
357,353d36m40.6s,-36d05m53.7s,38,37,38,0,,,10198.84
358,353d36m40.7s,-36d05m48.2s,41,26,36,0,,,10198.62
359,353d36m41.0s,-36d04m57.8s,58,55,57,0,,,10196.64
360,353d36m41.0s,-36d06m15.6s,45,43,44,-90,,,10199.68
361,353d36m41.1s,-36d06m5.1s,31,18,26,-60,,,10199.27
362,353d36m41.3s,-36d05m14.9s,13,10,12,0,,,10197.30
363,353d36m41.4s,-36d06m14.8s,49,43,47,0,,,10199.65
364,353d36m41.5s,-36d06m12.1s,26,17,23,-80,,,10199.54
365,353d36m41.6s,-36d06m37.6s,183,119,162,20,,,10200.54
366,353d36m42.1s,-36d05m56.6s,85,85,85,0,,,10198.92
367,353d36m42.1s,-36d06m7.3s,27,18,24,-90,,,10199.34
368,353d36m42.2s,-36d05m35.0s,153,95,134,85,,,10198.07
369,353d36m42.3s,-36d05m30.5s,53,37,48,40,,,10197.89
370,353d36m42.3s,-36d06m16.4s,32,32,32,0,,,10199.69
371,353d36m42.4s,-36d06m19.5s,28,19,25,0,,,10199.81
372,353d36m42.5s,-36d05m59.8s,82,25,63,10,,,10199.04
373,353d36m42.5s,-36d05m53.1s,31,28,30,-90,,,10198.77
374,353d36m42.6s,-36d06m44.4s,71,22,54,0,,,10200.78
375,353d36m42.6s,-36d06m3.3s,27,23,26,-60,,,10199.17
376,353d36m42.7s,-36d06m41.8s,62,32,52,20,,,10200.68
377,353d36m42.9s,-36d06m22.3s,45,45,45,0,,,10199.91
378,353d36m43.0s,-36d05m48.2s,51,30,44,10,,,10198.57
379,353d36m43.2s,-36d05m52.6s,16,15,16,0,,,10198.73
380,353d36m43.3s,-36d06m5.8s,65,28,53,-60,,,10199.25
381,353d36m43.6s,-36d06m24.7s,64,40,56,0,,,10199.99
382,353d36m43.6s,-36d05m58.2s,20,20,20,0,,,10198.95
383,353d36m43.7s,-36d05m16.4s,10,9,10,0,,,10197.30
384,353d36m44.1s,-36d05m51.1s,22,20,21,0,,,10198.66
385,353d36m44.2s,-36d06m9.6s,72,69,71,0,,,10199.38
386,353d36m44.6s,-36d06m35.7s,58,41,53,20,,,10200.40
387,353d36m44.6s,-36d06m17.8s,36,23,32,50,,,10199.70
388,353d36m44.6s,-36d06m4.4s,70,44,61,-80,,,10199.17
389,353d36m44.7s,-36d05m44.3s,26,22,24,0,,,10198.38
390,353d36m44.7s,-36d05m39.6s,114,51,93,-45,,,10198.19
391,353d36m44.7s,-36d06m11.3s,51,47,50,-90,,,10199.44
392,353d36m44.8s,-36d05m53.4s,22,16,20,0,,,10198.73
393,353d36m44.8s,-36d05m45.0s,74,44,64,0,,,10198.40
394,353d36m44.9s,-36d06m6.9s,64,26,51,0,,,10199.26
395,353d36m45.0s,-36d06m3.3s,28,21,26,50,,,10199.11
396,353d36m45.1s,-36d05m28.9s,37,28,34,40,,,10197.77
397,353d36m45.3s,-36d06m8.3s,38,34,37,0,,,10199.31
398,353d36m45.5s,-36d05m17.8s,27,25,26,0,,,10197.32
399,353d36m45.5s,-36d06m20.9s,62,57,60,-90,,,10199.79
400,353d36m45.9s,-36d05m50.9s,28,18,25,0,,,10198.61
401,353d36m46.0s,-36d05m53.2s,22,15,20,0,,,10198.70
402,353d36m46.0s,-36d06m15.9s,60,55,58,0,,,10199.59
403,353d36m46.1s,-36d05m54.2s,21,14,18,10,,,10198.73
404,353d36m46.3s,-36d05m56.5s,74,53,67,80,,,10198.82
405,353d36m46.4s,-36d06m33.3s,105,67,92,40,,,10200.26
406,353d36m46.7s,-36d06m45.7s,89,57,78,60,,,10200.74
407,353d36m47.0s,-36d06m2.1s,40,30,37,-80,,,10199.02
408,353d36m47.2s,-36d05m31.7s,43,43,43,-70,,,10197.83
409,353d36m47.3s,-36d05m53.9s,20,18,19,-90,,,10198.70
410,353d36m47.4s,-36d06m1.5s,39,24,34,-80,,,10198.99
411,353d36m47.4s,-36d06m20.1s,49,49,49,0,,,10199.72
412,353d36m47.4s,-36d06m24.1s,108,42,86,10,,,10199.88
413,353d36m47.6s,-36d05m45.1s,52,15,40,10,,,10198.34
414,353d36m47.7s,-36d06m35.1s,89,87,88,30,,,10200.31
415,353d36m48.1s,-36d06m36.9s,87,46,73,60,,,10200.37
416,353d36m48.1s,-36d06m11.4s,42,42,42,0,,,10199.36
417,353d36m48.3s,-36d05m55.2s,23,17,21,-90,,,10198.73
418,353d36m48.4s,-36d05m38.6s,33,20,29,0,,,10198.07
419,353d36m48.5s,-36d05m41.9s,26,13,21,0,,,10198.20
420,353d36m48.5s,-36d05m27.5s,27,19,24,0,,,10197.64
421,353d36m48.8s,-36d05m56.8s,26,12,21,0,,,10198.78
422,353d36m48.9s,-36d06m21.3s,31,26,29,0,,,10199.74
423,353d36m48.9s,-36d06m39.0s,101,55,85,-50,,,10200.43
424,353d36m48.9s,-36d05m51.2s,16,11,14,20,,,10198.55
425,353d36m49.1s,-36d05m43.6s,55,33,48,-60,,,10198.25
426,353d36m49.2s,-36d06m5.1s,79,58,72,-50,,,10199.09
427,353d36m49.3s,-36d05m58.0s,21,12,18,40,,,10198.82
428,353d36m49.3s,-36d05m51.6s,27,20,25,0,,,10198.56
429,353d36m49.4s,-36d05m57.1s,26,14,22,0,,,10198.78
430,353d36m49.5s,-36d05m57.5s,17,11,15,0,,,10198.79
431,353d36m49.5s,-36d06m23.1s,72,17,54,10,,,10199.79
432,353d36m49.6s,-36d05m52.0s,16,15,16,0,,,10198.57
433,353d36m49.7s,-36d05m55.6s,29,21,26,50,,,10198.71
434,353d36m49.9s,-36d06m20.1s,57,26,47,0,,,10199.67
435,353d36m49.9s,-36d06m13.0s,63,58,62,-90,,,10199.39
436,353d36m50.1s,-36d05m20.7s,34,30,32,0,,,10197.33
437,353d36m50.2s,-36d05m54.6s,18,14,17,0,,,10198.66
438,353d36m50.3s,-36d06m16.7s,58,53,56,0,,,10199.53
439,353d36m50.3s,-36d05m52.9s,22,14,19,-50,,,10198.59
440,353d36m50.5s,-36d05m55.3s,21,17,20,-90,,,10198.68
441,353d36m50.7s,-36d06m4.5s,85,53,74,-10,,,10199.04
442,353d36m50.8s,-36d05m53.5s,17,16,17,0,,,10198.61
443,353d36m50.9s,-36d05m21.8s,30,28,29,0,,,10197.36
444,353d36m51.1s,-36d05m56.2s,41,15,32,20,,,10198.70
445,353d36m51.1s,-36d05m53.8s,11,10,11,0,,,10198.61
446,353d36m51.1s,-36d05m51.9s,22,20,21,0,,,10198.54
447,353d36m51.5s,-36d05m54.7s,18,17,18,-90,,,10198.63
448,353d36m51.5s,-36d05m53.5s,17,10,15,-90,,,10198.59
449,353d36m51.5s,-36d05m27.8s,75,38,63,85,,,10197.58
450,353d36m51.6s,-36d05m48.8s,90,69,83,-20,,,10198.40
451,353d36m51.6s,-36d05m29.1s,0,0,0,0,,,10197.63
452,353d36m51.6s,-36d05m27.5s,78,0,52,-90,,,10197.57
453,353d36m51.8s,-36d05m52.6s,7,5,7,-90,,,10198.55
454,353d36m51.9s,-36d05m51.4s,23,18,22,0,,,10198.50
455,353d36m51.9s,-36d05m54.2s,11,10,11,0,,,10198.61
456,353d36m52.0s,-36d05m52.7s,9,7,8,-90,,,10198.54
457,353d36m52.1s,-36d05m23.0s,22,15,20,-90,,,10197.38
