ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
110,24d11m38.4s,15d45m27.1s,43,34,40,70,,,5.59
111,24d11m39.0s,15d45m38.8s,350,128,276,-34,,,5.17
112,24d11m39.1s,15d45m38.9s,245,230,240,-20,,,5.17
113,24d11m39.1s,15d46m25.4s,31,28,30,70,,,3.77
114,24d11m39.3s,15d45m29.4s,43,34,40,70,,,5.53
115,24d11m39.7s,15d45m31.3s,67,43,59,70,,,5.46
116,24d11m41.3s,15d45m47.5s,55,25,45,70,,,4.93
117,24d11m42.0s,15d45m46.2s,49,21,40,70,,,5.00
118,24d11m42.5s,15d45m31.5s,46,43,45,70,,,5.54
119,24d11m44.8s,15d46m1.7s,40,31,37,70,,,4.60
120,24d11m45.5s,15d45m48.5s,135,95,121,70,,,5.04
121,24d11m45.6s,15d46m0.2s,31,28,30,70,,,4.67
122,24d11m45.7s,15d45m59.0s,34,28,32,-20,,,4.71
123,24d11m46.9s,15d45m44.2s,28,25,27,70,,,5.23
124,24d11m47.1s,15d45m33.9s,67,61,65,70,,,5.59
125,24d11m47.5s,15d46m20.1s,122,46,97,81,,,4.23
126,24d11m47.9s,15d45m45.1s,28,25,27,70,,,5.23
127,24d11m48.0s,15d45m46.2s,28,25,27,-20,,,5.20
128,24d11m48.2s,15d45m42.4s,40,31,37,70,,,5.33
129,24d11m48.3s,15d46m1.0s,61,18,47,-89,,,4.75
130,24d11m48.3s,15d45m47.4s,34,25,31,-20,,,5.17
131,24d11m48.8s,15d45m38.0s,89,64,81,70,,,5.50
132,24d11m49.5s,15d46m15.9s,168,129,155,70,,,4.41
133,24d11m51.3s,15d46m3.7s,169,45,128,81,,,4.78
134,24d11m51.6s,15d45m46.3s,21,21,21,70,,,5.31
135,24d11m53.3s,15d45m44.6s,40,31,37,70,,,5.43
136,24d11m54.0s,15d45m53.1s,74,55,67,70,,,5.18
137,24d11m55.7s,15d45m57.1s,43,43,43,70,,,5.13
138,24d11m57.0s,15d45m39.3s,52,49,51,-20,,,5.72
139,24d11m57.6s,15d45m53.0s,98,58,85,70,,,5.32
140,24d11m57.9s,15d45m43.4s,52,46,50,70,,,5.62
